zone_id,id,landuse,name
6738778,6738778,residential,Regency Pinnacle Heights
13942356,13942356,commercial,RMZ Eco World
13971623,13971623,commercial,Geological Survey of India
14015120,14015120,residential,Adarsh Palm Retreat
15256372,15256372,residential,DRDO Residential Colony
15454011,15454011,commercial,nan
15841419,15841419,residential,Mantri Webcity Parcel 3
15989825,15989825,residential,Sobha Emerald
16284031,16284031,residential,Krishna Nagar Apartments
17077499,17077499,residential,Adarsh Palm Retreat Villas
17101059,17101059,commercial,North Gate Business Park
17143468,17143468,commercial,Prestige Tech Forest
17205663,17205663,commercial,Kalyani Vista
17344746,17344746,residential,Srinivasa Reddy S Property
17948650,17948650,residential,Brigade Lavelle
18066770,18066770,residential,Shriram Samruddhi
18451756,18451756,residential,nan
19756720,19756720,residential,Century Renata
20266116,20266116,residential,Sobha Dew Flower
20266117,20266117,residential,nan
20357587,20357587,residential,Halcyon at Brigade Cornerstone Utopia
23029693,23029693,commercial,nan
23030046,23030046,commercial,nan
24349811,24349811,residential,SJR Eastwood
24349812,24349812,residential,Whisper Woods
24349879,24349879,residential,Ozone Evengreen Apartments
24364894,24364894,residential,Ozone Residenza
24364895,24364895,commercial,CPR Arcade
24365453,24365453,residential,Royal Placid Phase 2
24365454,24365454,residential,Reliable Lakedew Residency
24450423,24450423,residential,Silver Meadows
24450430,24450430,residential,Green Meadows
24579798,24579798,residential,SJR Verity
24579799,24579799,residential,Confident Phoenix
24579800,24579800,residential,Owners Court West
24579802,24579802,residential,Owners Court East
26399624,26399624,commercial,ITPB
26399625,26399625,commercial,GR Salarpuria Tech Park
26399626,26399626,residential,Prestige Langleigh
27931605,27931605,residential,Koramangala National Games Village
27994647,27994647,residential,Shanti Park Apartments
28110531,28110531,commercial,Bosch RBEI
28126293,28126293,commercial,Raheja Arcade
28444513,28444513,residential,Diamond District
28451526,28451526,commercial,nan
28453260,28453260,residential,ISRO Quarters
28453293,28453293,residential,Natasha Golfview Apartment
28453683,28453683,commercial,Embassy GolfLinks Business Park
30212088,30212088,residential,Mantri Splendor
30800487,30800487,residential,Golden Enclave
30801153,30801153,commercial,Leela Palace
32260141,32260141,residential,LIC Colony
32260174,32260174,residential,Jeevan Surabhi Apartments
32316800,32316800,residential,Raheja Residency Apartments
33300477,33300477,commercial,Dell Services
34121900,34121900,commercial,Manyata Tech Park
34167482,34167482,residential,SLV Spring Fields
35192889,35192889,residential,Sanchar Nagar
35213754,35213754,residential,Bhagyashree Royale
35215317,35215317,residential,Veeranna Garden
35279855,35279855,commercial,Golf View Campus
35901713,35901713,residential,Platinum City
35909118,35909118,residential,Ashalaya Layout
35909738,35909738,residential,Woods Enclave
35910071,35910071,residential,BDS Gardens
35912577,35912577,residential,Premier Park
35927712,35927712,residential,Subin Apartments
35933157,35933157,residential,nan
35933173,35933173,residential,nan
35933495,35933495,residential,Ferns Meadows
36328304,36328304,commercial,LIC Civil Station East (Old Reserve Bank)
36328305,36328305,commercial,Prestige Towers
36970831,36970831,commercial,Vishweshwariah Towers
36982699,36982699,commercial,Doordarshan Kendra
37338859,37338859,commercial,Bangalore Medical College Hospitals
37595128,37595128,commercial,Saiacs CEO Centre
37786545,37786545,residential,Adugodi Police Quarters
37825675,37825675,residential,Hennur Gardens
37829612,37829612,residential,Trinity Orchard
37829851,37829851,residential,Bens Sathya Enclave
37838292,37838292,residential,nan
38415417,38415417,residential,Yash Classic Enclave
38416183,38416183,residential,Jal Vayu Vihar
38420676,38420676,residential,Anugraha Lotus
38536361,38536361,residential,Mantri Greens
38758048,38758048,commercial,BEML Head Quarter Offices
38758705,38758705,commercial,Bruhat Bengaluru Mahanagara Palike
38772824,38772824,commercial,State Bank of India Complex
38773290,38773290,commercial,UB City
38870571,38870571,commercial,The Lalit Ashok
38870577,38870577,residential,Embassy Habitat
38870579,38870579,residential,RBI Quarters
38871248,38871248,commercial,Jawaharlal Nehru Planetarium
38871249,38871249,commercial,nan
38872927,38872927,commercial,Taj West End
38872969,38872969,commercial,Fun World
38978560,38978560,residential,Railway Quarters
39541558,39541558,commercial,Keppel Bangalore Tower
40631129,40631129,commercial,BDA Complex
40631634,40631634,commercial,Subramanya Arcade
40631635,40631635,residential,Sobha Magnolia
40633849,40633849,residential,Sobha Opal
40633868,40633868,residential,BSNL Quarters
40633869,40633869,residential,Adarsh Gardens
41184090,41184090,residential,Karnataka State Reserve Police Quarters
41206236,41206236,residential,nan
41744637,41744637,residential,Mahaveer Tuscan
41748192,41748192,residential,Spring Beauty
41752462,41752462,residential,Kristal Citrine Apartment
41752739,41752739,residential,Ittina Akkala
42013540,42013540,commercial,HMT Commercial Complex
42014444,42014444,residential,HMT Quarters
42014445,42014445,residential,HMT Quarters
42027291,42027291,residential,Prime Blue Forest Apartment
42396273,42396273,commercial,Indian Space Research Organisation - ISRO Vijinapura Campus
42396274,42396274,residential,IISc Quarters
42850914,42850914,residential,nan
42851262,42851262,residential,nan
42851263,42851263,residential,nan
42851273,42851273,residential,nan
42857418,42857418,residential,nan
42857478,42857478,residential,nan
43102214,43102214,residential,nan
43317315,43317315,residential,nan
43317324,43317324,residential,nan
43321727,43321727,residential,nan
43363673,43363673,residential,nan
43363681,43363681,residential,nan
43363684,43363684,residential,nan
43363723,43363723,residential,nan
43364155,43364155,residential,nan
43364349,43364349,residential,nan
43364350,43364350,residential,Kogilu Layout
43364352,43364352,residential,nan
43608453,43608453,residential,Jayantinagara
43609753,43609753,residential,nan
43609761,43609761,residential,Agrahara Layout
43825207,43825207,residential,nan
43825209,43825209,residential,nan
43990790,43990790,residential,nan
43990803,43990803,residential,nan
44165758,44165758,commercial,Commerce House
44768628,44768628,residential,nan
44945498,44945498,residential,nan
45096250,45096250,commercial,Tata Elxsi
45185773,45185773,commercial,UNI Buildings
45267145,45267145,residential,Loco Shed Quarters
45267554,45267554,residential,nan
45528591,45528591,residential,Kupempu Layout
45528593,45528593,commercial,Biozeen
45740313,45740313,commercial,BDA Complex
45740328,45740328,commercial,Patel's Inn Resort
45740329,45740329,residential,Whitehouse Apartments
46228626,46228626,residential,TATA Aquila Heights Apartments
46228627,46228627,residential,ISRO Quarters
46229299,46229299,residential,AFTC Quarters
46229341,46229341,commercial,nan
46229454,46229454,residential,Shriram Sadhana Apartments
