_id,connectionTime,kWhDelivered,duration_hours,siteID
sess_0,2024-03-20T15:41:00Z,46.86,6.05,proxy_site
sess_1,2024-03-24T22:20:00Z,32.25,9.71,proxy_site
sess_2,2024-01-27T19:47:00Z,25.45,3.46,proxy_site
sess_3,2024-01-13T14:34:00Z,16.97,9.51,proxy_site
sess_4,2024-02-24T17:34:00Z,30.55,2.81,proxy_site
sess_5,2024-01-02T17:05:00Z,18.52,6.22,proxy_site
sess_6,2024-01-26T14:36:00Z,46.64,7.17,proxy_site
sess_7,2024-02-28T14:36:00Z,42.98,9.73,proxy_site
sess_8,2024-02-01T20:52:00Z,14.62,7.79,proxy_site
sess_9,2024-01-12T18:23:00Z,9.26,3.27,proxy_site
sess_10,2024-01-30T13:56:00Z,5.95,8.37,proxy_site
sess_11,2024-01-04T19:12:00Z,42.59,5.19,proxy_site
sess_12,2024-03-10T17:58:00Z,17.84,5.14,proxy_site
sess_13,2024-03-04T15:23:00Z,41.37,8.17,proxy_site
sess_14,2024-02-16T19:17:00Z,23.24,2.97,proxy_site
sess_15,2024-02-01T18:33:00Z,11.69,2.65,proxy_site
sess_16,2024-03-16T16:51:00Z,17.21,8.24,proxy_site
sess_17,2024-01-23T16:34:00Z,21.9,4.48,proxy_site
sess_18,2024-01-05T17:59:00Z,43.33,9.16,proxy_site
sess_19,2024-03-27T18:19:00Z,22.7,2.68,proxy_site
sess_20,2024-03-04T18:28:00Z,19.29,7.5,proxy_site
sess_21,2024-02-09T17:18:00Z,30.61,9.92,proxy_site
sess_22,2024-01-20T16:44:00Z,6.54,2.78,proxy_site
sess_23,2024-01-07T18:42:00Z,29.46,8.61,proxy_site
sess_24,2024-02-06T17:52:00Z,13.06,6.23,proxy_site
sess_25,2024-02-16T20:09:00Z,13.9,8.2,proxy_site
sess_26,2024-02-15T17:04:00Z,21.48,3.68,proxy_site
sess_27,2024-01-30T16:46:00Z,12.13,9.7,proxy_site
sess_28,2024-02-17T15:05:00Z,10.65,9.64,proxy_site
sess_29,2024-02-25T20:25:00Z,31.36,2.03,proxy_site
sess_30,2024-02-24T15:57:00Z,10.38,4.75,proxy_site
sess_31,2024-01-20T17:34:00Z,35.01,7.92,proxy_site
sess_32,2024-01-06T18:26:00Z,6.93,9.36,proxy_site
sess_33,2024-03-18T17:25:00Z,11.34,6.32,proxy_site
sess_34,2024-02-09T16:08:00Z,16.42,8.01,proxy_site
sess_35,2024-01-25T19:27:00Z,29.32,8.96,proxy_site
sess_36,2024-03-22T14:58:00Z,23.41,2.9,proxy_site
sess_37,2024-02-19T15:52:00Z,10.65,3.35,proxy_site
sess_38,2024-01-24T22:21:00Z,20.11,3.85,proxy_site
sess_39,2024-03-08T18:00:00Z,24.21,9.28,proxy_site
sess_40,2024-02-29T16:05:00Z,23.8,4.76,proxy_site
sess_41,2024-02-05T21:01:00Z,27.16,4.78,proxy_site
sess_42,2024-02-22T21:13:00Z,38.88,7.26,proxy_site
sess_43,2024-02-03T17:02:00Z,12.27,9.67,proxy_site
sess_44,2024-03-17T21:23:00Z,29.31,6.96,proxy_site
sess_45,2024-02-02T19:04:00Z,18.3,4.74,proxy_site
sess_46,2024-01-04T19:15:00Z,9.42,3.26,proxy_site
sess_47,2024-02-09T15:28:00Z,16.01,9.72,proxy_site
sess_48,2024-01-08T22:49:00Z,37.91,7.44,proxy_site
sess_49,2024-03-26T17:57:00Z,38.98,6.17,proxy_site
sess_50,2024-03-02T16:43:00Z,43.12,4.18,proxy_site
sess_51,2024-03-13T16:34:00Z,32.27,5.34,proxy_site
sess_52,2024-02-21T20:54:00Z,32.45,5.54,proxy_site
sess_53,2024-03-24T22:20:00Z,8.14,5.39,proxy_site
sess_54,2024-02-03T17:21:00Z,39.95,9.42,proxy_site
sess_55,2024-03-23T17:33:00Z,31.48,8.12,proxy_site
sess_56,2024-01-14T18:55:00Z,41.9,7.58,proxy_site
sess_57,2024-02-23T18:54:00Z,12.12,7.62,proxy_site
sess_58,2024-01-16T14:19:00Z,31.55,4.39,proxy_site
sess_59,2024-02-17T20:14:00Z,21.56,6.07,proxy_site
sess_60,2024-01-21T14:44:00Z,38.36,5.22,proxy_site
sess_61,2024-01-22T19:19:00Z,36.26,8.68,proxy_site
sess_62,2024-03-30T19:21:00Z,32.34,2.34,proxy_site
sess_63,2024-02-24T18:47:00Z,5.62,4.84,proxy_site
sess_64,2024-01-18T17:22:00Z,47.01,6.93,proxy_site
sess_65,2024-03-01T19:49:00Z,37.25,3.96,proxy_site
sess_66,2024-03-11T16:03:00Z,10.46,3.2,proxy_site
sess_67,2024-02-18T16:55:00Z,49.39,7.97,proxy_site
sess_68,2024-02-21T15:39:00Z,35.47,7.97,proxy_site
sess_69,2024-02-15T17:13:00Z,10.63,4.89,proxy_site
sess_70,2024-01-12T19:55:00Z,44.82,8.04,proxy_site
sess_71,2024-03-27T18:53:00Z,26.44,2.77,proxy_site
sess_72,2024-03-04T20:11:00Z,48.71,5.82,proxy_site
sess_73,2024-01-21T16:54:00Z,28.33,9.62,proxy_site
sess_74,2024-02-04T17:27:00Z,21.58,9.74,proxy_site
sess_75,2024-03-26T19:21:00Z,20.13,2.54,proxy_site
sess_76,2024-01-23T14:18:00Z,16.45,5.82,proxy_site
sess_77,2024-01-22T20:23:00Z,38.22,4.41,proxy_site
sess_78,2024-01-30T16:20:00Z,30.36,7.57,proxy_site
sess_79,2024-02-08T16:07:00Z,24.44,4.35,proxy_site
sess_80,2024-03-12T17:43:00Z,36.73,7.53,proxy_site
sess_81,2024-03-16T21:14:00Z,19.75,7.97,proxy_site
sess_82,2024-03-17T16:45:00Z,8.99,5.68,proxy_site
sess_83,2024-02-13T17:44:00Z,37.18,3.65,proxy_site
sess_84,2024-02-08T17:55:00Z,47.57,2.66,proxy_site
sess_85,2024-03-04T15:33:00Z,38.6,6.49,proxy_site
sess_86,2024-03-12T18:36:00Z,45.68,3.11,proxy_site
sess_87,2024-02-01T19:39:00Z,23.03,4.95,proxy_site
sess_88,2024-01-15T19:44:00Z,21.44,6.76,proxy_site
sess_89,2024-02-10T20:15:00Z,12.36,2.43,proxy_site
sess_90,2024-01-23T19:20:00Z,24.44,7.07,proxy_site
sess_91,2024-01-16T17:44:00Z,37.73,5.0,proxy_site
sess_92,2024-01-02T20:00:00Z,21.45,9.87,proxy_site
sess_93,2024-01-11T19:51:00Z,35.73,6.36,proxy_site
sess_94,2024-02-09T17:52:00Z,28.59,4.31,proxy_site
sess_95,2024-03-11T17:25:00Z,32.47,4.47,proxy_site
sess_96,2024-01-18T14:16:00Z,24.24,6.53,proxy_site
sess_97,2024-02-25T18:35:00Z,15.64,3.1,proxy_site
sess_98,2024-02-13T14:07:00Z,25.77,2.88,proxy_site
sess_99,2024-02-12T16:04:00Z,30.0,9.79,proxy_site
sess_100,2024-03-19T16:00:00Z,46.73,9.56,proxy_site
sess_101,2024-02-22T18:06:00Z,7.67,3.51,proxy_site
sess_102,2024-01-17T15:51:00Z,26.54,7.05,proxy_site
sess_103,2024-03-24T15:41:00Z,32.37,4.35,proxy_site
sess_104,2024-03-29T20:37:00Z,27.46,7.4,proxy_site
sess_105,2024-03-26T15:11:00Z,34.84,3.36,proxy_site
sess_106,2024-03-10T19:19:00Z,17.51,2.84,proxy_site
sess_107,2024-03-12T15:48:00Z,28.39,4.13,proxy_site
sess_108,2024-02-02T16:43:00Z,33.02,6.71,proxy_site
sess_109,2024-02-12T13:51:00Z,44.73,3.43,proxy_site
sess_110,2024-01-15T19:56:00Z,12.35,5.87,proxy_site
sess_111,2024-01-21T19:19:00Z,41.77,8.65,proxy_site
sess_112,2024-01-12T16:40:00Z,7.12,8.2,proxy_site
sess_113,2024-02-29T19:54:00Z,8.17,2.86,proxy_site
sess_114,2024-01-21T20:35:00Z,39.82,5.11,proxy_site
sess_115,2024-01-05T16:29:00Z,20.42,7.91,proxy_site
sess_116,2024-03-11T22:01:00Z,10.84,2.14,proxy_site
sess_117,2024-01-07T17:34:00Z,37.13,2.95,proxy_site
sess_118,2024-03-10T19:20:00Z,43.57,9.05,proxy_site
sess_119,2024-03-29T15:30:00Z,49.11,2.19,proxy_site
sess_120,2024-03-23T15:16:00Z,45.91,8.45,proxy_site
sess_121,2024-03-16T18:40:00Z,24.18,9.18,proxy_site
sess_122,2024-02-03T20:06:00Z,26.94,4.91,proxy_site
sess_123,2024-03-06T18:53:00Z,11.4,3.25,proxy_site
sess_124,2024-03-20T19:05:00Z,17.9,6.79,proxy_site
sess_125,2024-03-03T17:07:00Z,45.73,8.0,proxy_site
sess_126,2024-03-12T19:52:00Z,24.33,7.7,proxy_site
sess_127,2024-03-17T20:01:00Z,46.17,7.17,proxy_site
sess_128,2024-02-16T14:01:00Z,42.08,5.24,proxy_site
sess_129,2024-01-11T16:53:00Z,37.77,6.41,proxy_site
sess_130,2024-02-16T21:15:00Z,28.99,6.05,proxy_site
sess_131,2024-01-15T17:05:00Z,48.75,8.13,proxy_site
sess_132,2024-01-16T16:44:00Z,26.12,3.9,proxy_site
sess_133,2024-01-24T19:48:00Z,38.03,7.19,proxy_site
sess_134,2024-03-20T15:41:00Z,30.66,8.29,proxy_site
sess_135,2024-02-09T18:22:00Z,23.48,6.21,proxy_site
sess_136,2024-02-06T19:15:00Z,23.47,5.69,proxy_site
sess_137,2024-01-01T20:10:00Z,25.42,5.07,proxy_site
sess_138,2024-01-04T15:12:00Z,12.37,6.73,proxy_site
sess_139,2024-02-21T17:58:00Z,8.78,9.13,proxy_site
sess_140,2024-02-27T19:12:00Z,22.5,5.95,proxy_site
sess_141,2024-01-24T17:22:00Z,46.73,4.96,proxy_site
sess_142,2024-01-29T16:14:00Z,13.85,9.47,proxy_site
sess_143,2024-01-30T17:17:00Z,13.33,2.92,proxy_site
sess_144,2024-03-17T15:51:00Z,14.19,8.67,proxy_site
sess_145,2024-01-23T19:49:00Z,48.51,2.36,proxy_site
sess_146,2024-01-17T16:56:00Z,11.96,6.2,proxy_site
sess_147,2024-01-07T19:39:00Z,12.61,5.08,proxy_site
sess_148,2024-01-04T17:41:00Z,26.7,2.33,proxy_site
sess_149,2024-01-06T16:21:00Z,48.34,5.82,proxy_site
sess_150,2024-03-08T18:53:00Z,15.34,3.67,proxy_site
sess_151,2024-01-05T18:19:00Z,11.83,4.87,proxy_site
sess_152,2024-01-18T18:36:00Z,27.19,4.01,proxy_site
sess_153,2024-03-10T16:24:00Z,18.68,6.47,proxy_site
sess_154,2024-01-02T18:15:00Z,5.82,4.73,proxy_site
sess_155,2024-02-29T17:36:00Z,48.5,4.03,proxy_site
sess_156,2024-01-19T16:07:00Z,23.65,5.82,proxy_site
sess_157,2024-02-12T19:19:00Z,33.69,5.58,proxy_site
