zone_id,zone_type,transformer_max_capacity_kw,historical_peak_load_hour,baseline_peak_load_kw
6738778,residential,270.45,19,137.86
13942356,commercial,893.54,14,500.76
13971623,commercial,1738.6,14,937.76
14015120,residential,489.77,19,335.1
15256372,residential,368.76,19,218.23
15454011,commercial,1355.73,14,724.02
15841419,residential,297.98,19,152.03
15989825,residential,344.56,19,234.82
16284031,residential,340.29,19,177.68
17077499,residential,257.09,19,156.55
17101059,commercial,813.29,14,466.61
17143468,commercial,1417.64,14,897.26
17205663,commercial,1941.79,14,1094.1
17344746,residential,275.21,19,164.69
17948650,residential,363.33,19,213.92
18066770,residential,474.49,19,264.32
18451756,residential,325.54,19,168.62
19756720,residential,242.7,19,157.09
20266116,residential,451.76,19,229.56
20266117,residential,419.03,19,242.75
20357587,residential,486.6,19,288.9
23029693,commercial,1828.25,14,1211.26
23030046,commercial,1941.2,14,1137.14
24349811,residential,433.75,19,221.57
24349812,residential,384.24,19,201.13
24349879,residential,302.64,19,200.27
24364894,residential,489.98,19,262.84
24364895,commercial,998.41,14,536.3
24365453,residential,297.31,19,204.91
24365454,residential,256.98,19,177.65
24450423,residential,256.17,19,140.27
24450430,residential,454.75,19,237.44
24579798,residential,344.18,19,223.94
24579799,residential,294.9,19,202.96
24579800,residential,416.98,19,210.19
24579802,residential,433.73,19,266.97
26399624,commercial,1280.06,14,662.95
26399625,commercial,1229.66,14,729.48
26399626,residential,330.77,19,166.11
27931605,residential,247.94,19,134.34
27994647,residential,421.4,19,267.55
28110531,commercial,1518.56,14,759.59
28126293,commercial,1871.24,14,1075.0
28444513,residential,348.46,19,206.86
28451526,commercial,1086.5,14,756.86
28453260,residential,377.27,19,202.46
28453293,residential,490.75,19,324.15
28453683,commercial,977.16,14,545.52
30212088,residential,232.92,19,138.95
30800487,residential,439.57,19,228.82
30801153,commercial,1974.79,14,1134.25
32260141,residential,203.64,19,113.8
32260174,residential,275.09,19,172.97
32316800,residential,344.78,19,195.27
33300477,commercial,1029.43,14,529.01
34121900,commercial,1050.12,14,544.39
34167482,residential,297.77,19,197.56
35192889,residential,368.19,19,253.27
35213754,residential,267.17,19,140.66
35215317,residential,410.92,19,233.62
35279855,commercial,964.22,14,562.03
35901713,residential,431.51,19,252.49
35909118,residential,467.46,19,298.84
35909738,residential,361.61,19,239.8
35910071,residential,328.81,19,192.34
35912577,residential,246.35,19,145.36
35927712,residential,390.33,19,266.96
35933157,residential,476.38,19,291.29
35933173,residential,403.08,19,246.49
35933495,residential,301.24,19,172.83
36328304,commercial,1312.03,14,682.81
36328305,commercial,1182.07,14,660.38
36970831,commercial,1163.33,14,753.56
36982699,commercial,1192.36,14,744.28
37338859,commercial,1627.48,14,947.97
37595128,commercial,1799.69,14,1098.8
37786545,residential,259.04,19,147.4
37825675,residential,263.22,19,160.62
37829612,residential,297.74,19,155.47
37829851,residential,403.71,19,247.52
37838292,residential,384.58,19,206.35
38415417,residential,454.23,19,314.44
38416183,residential,289.09,19,173.06
38420676,residential,474.0,19,313.05
38536361,residential,387.16,19,231.13
38758048,commercial,1348.06,14,840.84
38758705,commercial,1367.86,14,715.77
38772824,commercial,1586.5,14,1052.45
38773290,commercial,1015.94,14,522.55
38870571,commercial,899.04,14,488.46
38870577,residential,326.26,19,207.77
38870579,residential,210.35,19,136.94
38871248,commercial,1540.66,14,815.49
38871249,commercial,1182.93,14,609.76
38872927,commercial,1960.27,14,1215.16
38872969,commercial,1590.97,14,959.97
38978560,residential,257.13,19,153.26
39541558,commercial,1736.09,14,1136.69
40631129,commercial,894.86,14,571.55
40631634,commercial,946.44,14,485.7
40631635,residential,455.08,19,301.49
40633849,residential,369.84,19,241.0
40633868,residential,417.18,19,217.33
40633869,residential,304.76,19,158.6
41184090,residential,270.1,19,143.41
41206236,residential,486.99,19,287.22
41744637,residential,482.36,19,317.67
41748192,residential,263.65,19,164.06
41752462,residential,228.77,19,135.79
41752739,residential,344.88,19,181.2
42013540,commercial,1069.83,14,686.16
42014444,residential,232.72,19,131.87
42014445,residential,411.48,19,279.21
42027291,residential,367.36,19,213.38
42396273,commercial,1039.87,14,711.68
42396274,residential,234.2,19,131.79
42850914,residential,332.46,19,212.59
42851262,residential,469.36,19,327.42
42851263,residential,315.41,19,212.61
42851273,residential,354.46,19,220.61
42857418,residential,361.98,19,189.55
42857478,residential,448.68,19,307.8
43102214,residential,499.0,19,330.93
43317315,residential,387.0,19,245.31
43317324,residential,292.89,19,159.39
43321727,residential,334.5,19,181.29
43363673,residential,240.09,19,157.99
43363681,residential,400.53,19,259.53
43363684,residential,211.6,19,118.23
43363723,residential,258.66,19,178.37
43364155,residential,333.74,19,228.36
43364349,residential,290.4,19,163.72
43364350,residential,388.42,19,211.16
43364352,residential,285.47,19,162.36
43608453,residential,201.1,19,103.36
43609753,residential,286.32,19,198.38
43609761,residential,476.13,19,316.13
43825207,residential,245.09,19,171.22
43825209,residential,316.04,19,195.49
43990790,residential,334.82,19,204.6
43990803,residential,432.11,19,301.51
44165758,commercial,1504.28,14,859.07
44768628,residential,381.93,19,214.26
44945498,residential,204.71,19,104.68
45096250,commercial,1220.87,14,641.3
45185773,commercial,1678.26,14,1009.63
45267145,residential,364.63,19,234.61
45267554,residential,466.91,19,263.99
45528591,residential,469.25,19,290.05
45528593,commercial,1929.69,14,1269.42
45740313,commercial,1677.12,14,1058.0
45740328,commercial,1621.91,14,982.96
45740329,residential,475.14,19,256.63
46228626,residential,227.73,19,152.1
46228627,residential,267.75,19,150.69
46229299,residential,214.34,19,132.31
46229341,commercial,1177.0,14,651.36
46229454,residential,285.83,19,143.7
46244855,residential,286.81,19,178.13
46245005,residential,292.21,19,167.23
46251254,residential,247.17,19,166.8
46554633,residential,205.18,19,106.89
46922189,residential,393.25,19,255.97
48396748,residential,249.56,19,158.54
50891866,residential,381.54,19,241.89
51130872,residential,410.09,19,217.65
51868686,commercial,819.56,14,499.42
52033438,commercial,857.94,14,508.83
52033918,commercial,1206.93,14,729.07
52050266,commercial,1802.06,14,1147.56
52050275,commercial,1429.26,14,960.07
52059209,commercial,881.38,14,460.04
52063527,commercial,1839.3,14,1261.97
52242929,commercial,1666.36,14,997.1
52244612,commercial,1766.96,14,1209.12
52244622,residential,251.72,19,143.83
52244638,commercial,1578.15,14,859.37
52245042,commercial,1770.49,14,1004.02
52246043,commercial,1562.3,14,980.21
52246045,commercial,1171.59,14,752.92
52464006,residential,224.69,19,142.68
53264749,commercial,1900.71,14,1044.98
53849357,residential,235.25,19,148.86
53859282,residential,442.34,19,225.54
56180200,commercial,1224.32,14,659.23
57885751,commercial,1324.85,14,754.06
58517044,residential,204.8,19,129.95
59358775,commercial,1678.99,14,935.1
60118137,residential,482.51,19,337.32
63707694,residential,489.39,19,299.35
68680160,residential,245.95,19,133.84
70807228,residential,300.88,19,202.2
70809516,commercial,1304.87,14,819.7
73954248,commercial,1410.88,14,779.85
73954250,commercial,1466.79,14,881.69
82432653,residential,396.87,19,203.02
82486702,residential,238.14,19,123.64
83231745,commercial,1621.54,14,932.86
83356936,residential,442.21,19,229.97
83694092,residential,449.73,19,232.31
83694285,residential,255.11,19,162.99
84086381,commercial,1755.81,14,1093.47
84271198,residential,482.96,19,319.27
84514506,residential,277.46,19,185.84
84514507,residential,357.88,19,211.13
85265737,residential,209.5,19,139.94
85392306,residential,281.29,19,176.91
85568486,residential,325.94,19,180.04
86309369,residential,236.25,19,148.5
86310221,commercial,1295.77,14,790.55
89797678,residential,477.92,19,282.39
89932989,residential,254.77,19,145.61
